seriesuid,point_index,nodule_index,z,y,x,rel_z,rel_y,rel_x,grid_h,grid_w,estimated_depth
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,0,0,131.0,105.4000015258789,26.959999084472656,0.39104477611940297,0.43553719638792937,0.08244648038065032,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,1,0,131.0,105.0,25.0,0.39104477611940297,0.43388429752066116,0.0764525993883792,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,2,0,131.0,103.0,28.0,0.39104477611940297,0.4256198347107438,0.0856269113149847,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,3,0,131.0,107.0,29.0,0.39104477611940297,0.44214876033057854,0.08868501529051988,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,4,0,131.0,106.0,25.0,0.39104477611940297,0.4380165289256198,0.0764525993883792,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,5,1,202.0,68.71428680419922,259.5,0.6029850746268657,0.28394333390164966,0.7935779816513762,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,6,1,202.0,68.0,258.0,0.6029850746268657,0.2809917355371901,0.7889908256880734,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,7,1,202.0,68.0,261.0,0.6029850746268657,0.2809917355371901,0.7981651376146789,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,8,1,202.0,70.0,260.0,0.6029850746268657,0.2892561983471074,0.7951070336391437,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,9,1,202.0,69.0,258.0,0.6029850746268657,0.28512396694214875,0.7889908256880734,243,328,336.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,0,0,151.0,129.74073791503906,216.40740966796875,0.569811320754717,0.6298094073545586,0.8044885117768354,207,270,266.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,1,0,151.0,129.0,214.0,0.569811320754717,0.6262135922330098,0.7955390334572491,207,270,266.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,2,0,151.0,128.0,218.0,0.569811320754717,0.6213592233009708,0.8104089219330854,207,270,266.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,3,0,151.0,132.0,218.0,0.569811320754717,0.6407766990291263,0.8104089219330854,207,270,266.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,4,0,151.0,130.0,214.0,0.569811320754717,0.6310679611650486,0.7955390334572491,207,270,266.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,0,0,189.0,91.0,97.5,0.7325581395348837,0.5352941176470588,0.39473684210526316,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,1,0,189.0,90.0,89.0,0.7325581395348837,0.5294117647058824,0.3603238866396761,171,248,259.0
