seriesuid,nodule_index,z,y,x,rel_z,rel_y,rel_x,grid_h,grid_w,estimated_depth,control_point_count
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,0,131.0,105.4000015258789,26.959999084472656,0.39104477611940297,0.43553719638792937,0.08244648038065032,243,328,336.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,1,202.0,68.71428680419922,259.5,0.6029850746268657,0.28394333390164966,0.7935779816513762,243,328,336.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,0,151.0,129.74073791503906,216.40740966796875,0.569811320754717,0.6298094073545586,0.8044885117768354,207,270,266.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,0,189.0,91.0,97.5,0.7325581395348837,0.5352941176470588,0.39473684210526316,171,248,259.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,1,168.0,67.5,186.0,0.6511627906976745,0.39705882352941174,0.7530364372469636,171,248,259.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,2,80.0,114.89573669433594,184.58767700195312,0.31007751937984496,0.6758572746725643,0.7473185303722799,171,248,259.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,3,204.0,110.64151000976562,71.07546997070312,0.7906976744186046,0.6508324118221507,0.2877549391526442,171,248,259.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,0,139.0,124.83333587646484,208.15475463867188,0.5265151515151515,0.5944444565545945,0.7487581102110499,211,279,265.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,0,274.0,126.85511016845703,252.3295440673828,0.8616352201257862,0.5177759598712532,0.7716499818574398,246,328,319.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,0,91.0,89.67857360839844,45.595237731933594,0.3872340425531915,0.3950597956317112,0.14474678645058284,228,316,236.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,0,97.0,136.94667053222656,32.3466682434082,0.41452991452991456,0.6253272627042309,0.11039818513108601,220,294,235.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,0,84.0,124.6500015258789,138.75,0.3346613545816733,0.6170792154746481,0.4834494773519164,203,288,252.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,0,98.0,165.5,57.5,0.4100418410041841,0.8530927835051546,0.20833333333333334,195,277,240.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,1,153.0,69.4000015258789,57.400001525878906,0.6401673640167364,0.3577319666282418,0.20797102002130038,195,277,240.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,0,143.0,120.75675964355469,53.75675582885742,0.4782608695652174,0.638924654198702,0.2099873274564743,190,257,300.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,0,146.0,104.28378295898438,51.716217041015625,0.5195729537366548,0.543144702911377,0.18602955770149504,193,279,282.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,0,75.0,29.571428298950195,64.42857360839844,0.2613240418118467,0.13690476064328794,0.2013392925262451,217,321,288.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,0,92.0,178.7142791748047,61.5,0.40707964601769914,0.8390341745295995,0.2261029411764706,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,1,95.0,112.0,22.7560977935791,0.42035398230088494,0.5258215962441315,0.08366212424109964,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,2,104.0,176.6666717529297,212.8000030517578,0.46017699115044247,0.8294209941452098,0.7823529523961684,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,3,59.0,79.84615325927734,231.61538696289062,0.2610619469026549,0.3748645692923819,0.8515271579518038,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,4,88.0,83.25,252.75,0.3893805309734513,0.3908450704225352,0.9292279411764706,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,5,74.0,192.46665954589844,83.86666870117188,0.3274336283185841,0.9035993405910725,0.3083333408131319,214,273,227.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,0,82.0,171.3030242919922,48.90909194946289,0.2837370242214533,0.8695584989441227,0.15726396125229225,198,312,290.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,0,196.0,174.58621215820312,206.27586364746094,0.7075812274368231,0.7366506842118276,0.6269783089588479,238,330,278.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,0,85.0,107.76551818847656,205.917236328125,0.4292929292929293,0.579384506389659,0.9031457733689693,187,229,199.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,1,71.0,136.1999969482422,196.1999969482422,0.35858585858585856,0.732258048108829,0.860526302404571,187,229,199.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,0,197.0,135.5986328125,99.14286041259766,0.652317880794702,0.6779931640625,0.3618352569802834,201,275,303.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,0,96.0,182.7894744873047,311.0,0.31475409836065577,0.8088029844571004,0.8735955056179775,227,357,306.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,0,232.0,138.15492248535156,89.4507064819336,0.8888888888888888,0.6167630468096051,0.31386212800678454,225,286,262.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,1,126.0,167.90908813476562,53.09090805053711,0.4827586206896552,0.7495941434587751,0.18628388789662143,225,286,262.0,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.111496024928645603833332252962,0,64.0,123.85713958740234,252.8095245361328,0.23703703703703705,0.6162046745641908,0.8964876756600454,202,283,271.0,5
