,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5103392931820602,0.23359135307606543,67.48012148796975,13.992536028511486,1.3524590289924576,3.5486001054554976,0.17938982371160647
std,0.13541057252604474,0.016842472091634777,63.63489081856279,13.324203183276826,1.5924530398261096,8.007653050697838,0.16498961074056556
min,0.0003859620103106994,0.08351884037256241,1.0417594909667969,0.24730707705020905,0.02194076875224709,0.03378251940011978,0.0030065463002564166
1%,0.09236245077328914,0.19647976025938987,1.7503156280517578,0.4484020480513573,0.040238488956540835,0.05554127722978592,0.004878869726697604
5%,0.19500278941901283,0.21311816796660424,2.8434959411621095,0.7309883892536163,0.06083323988877236,0.08252989277243614,0.007854979798373662
25%,0.4585350238209269,0.22494404017925262,6.072990417480469,1.5602972209453583,0.1339212642237544,0.18241320550441742,0.017166386445202665
50%,0.5542926636347121,0.2330918163061142,51.773807525634766,10.701951503753662,0.8837277090549465,1.1610175371170044,0.14657975618508154
75%,0.599748252154928,0.24241526424884796,112.32448768615723,22.588051795959473,2.049769294261933,3.556737184524536,0.2871155388010874
95%,0.6548224520062148,0.25882270038127897,192.01432723999022,40.06774005889893,4.108213019371041,13.417459154129027,0.4767363261924849
99%,0.6811411280553291,0.2701795446872711,235.80566925048828,49.64897750854492,7.157517350959772,36.40552257537841,0.6053721272167634
max,0.7174596649881821,0.2799980342388153,290.0,76.23157501220703,13.852422914505002,111.28504943847656,0.9807421701961093
