,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5374636126797511,0.23319398193947366,37.910244370366,7.856656080162203,0.7795012822370718,1.6823905945969493,0.09835516461720296
std,0.09962167988621619,0.013149842684640133,49.39823366452778,9.963791619200975,1.282185189716267,4.807410327848865,0.12707229178284304
min,0.1805429178040643,0.178329199552536,1.0260429382324219,0.2805691361427307,0.02146260691806674,0.030806971713900566,0.0028805182960298325
1%,0.2248438853718002,0.2013813741505146,1.805856704711914,0.47417359590530395,0.039693255662918106,0.0559791961312294,0.0050501999509963685
5%,0.32666356000209984,0.21342767179012298,2.3851890563964844,0.6369029581546783,0.05298382497020066,0.07353276014328003,0.0064928508849338516
25%,0.4983462778438427,0.22477907687425613,4.322246551513672,1.1418453454971313,0.0961256823316216,0.13213584944605827,0.01186873251826813
50%,0.5615985006800621,0.23191461712121964,7.2628326416015625,1.8194729685783386,0.1554022850841284,0.21480250358581543,0.02957971820243531
75%,0.60375540080213,0.24118924885988235,63.212167739868164,12.812828302383423,0.9866954974830141,1.3276136219501495,0.1577563708017271
95%,0.6560588268870804,0.2565170228481293,140.17035217285155,28.062591648101805,3.2381452580690424,6.725013852119445,0.3634046583341225
99%,0.6810569836745096,0.26654908269643784,196.1526345825195,40.92002311706542,5.697069421339029,18.798933601379392,0.5079543309650415
max,0.7174596649881821,0.2798745334148407,322.424560546875,67.52570343017578,13.430771493911779,78.47962188720703,0.9106935627725423
