seriesuid,foreground_fraction_gt,foreground_std_gt,z_range_gt,z_std_gt,grad_p99_gt,grad_max_gt,qc_badness_gt,control_labels_gt,anchor_labels_gt,control_z_range_gt,foreground_fraction_detector,foreground_std_detector,z_range_detector,z_std_detector,grad_p99_detector,grad_max_detector,qc_badness_detector,control_labels_detector,anchor_labels_detector,control_z_range_detector,foreground_fraction_delta_detector_minus_gt,foreground_std_delta_detector_minus_gt,z_range_delta_detector_minus_gt,z_std_delta_detector_minus_gt,grad_p99_delta_detector_minus_gt,grad_max_delta_detector_minus_gt,qc_badness_delta_detector_minus_gt,detector_better_qc
1.3.6.1.4.1.14519.5.2.1.6279.6001.283733738239331719775105586296,0.5945727906123945,0.22830814123153687,4.7363128662109375,1.1716644763946533,0.10181923642754556,0.14037321507930756,0.012591071506838004,5,8,0.0,0.4568940227356069,0.2349865436553955,276.0,47.301849365234375,12.182483987808233,28.663904190063477,0.8902906893730166,15,8,102.0,-0.13767876787678762,0.006678402423858643,271.26368713378906,46.13018488883972,12.080664751380688,28.52353097498417,0.8776996178661786,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.199975006921901879512837687266,0.32658508866982056,0.24097691476345062,22.081695556640625,5.310492992401123,0.2181826888024807,0.22591008245944977,0.0620774999351129,10,8,22.0,0.34256151386209266,0.2447447031736374,258.86456298828125,76.23157501220703,7.741493000984282,111.28504943847656,0.7706980394228633,25,8,139.00250244140625,0.015976425192272103,0.0037677884101867676,236.78286743164062,70.92108201980591,7.523310312181802,111.05913935601711,0.7086205394877504,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.153536305742006952753134773630,0.5554160913769298,0.2310699224472046,136.5296630859375,27.357290267944336,2.9043178772926312,3.3861632347106934,0.3355369998163647,25,8,135.0,0.35011087402200747,0.2428523600101471,284.5341491699219,74.63511657714844,13.852422914505002,100.60887145996094,0.9807421701961093,25,8,135.24810791015625,-0.20530521735492235,0.011782437562942505,148.00448608398438,47.2778263092041,10.948105037212372,97.22270822525024,0.6452051703797446,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.168605638657404145360275453085,0.6817667718316567,0.2377587854862213,5.97186279296875,1.5694085359573364,0.11944755241274835,0.16013826429843903,0.01581425226148632,5,8,0.0,0.7059199952378118,0.23970036208629608,231.54409790039062,51.029632568359375,5.584125256538398,6.910220146179199,0.6006428873009154,25,8,223.85025024414062,0.02415322340615511,0.001941576600074768,225.57223510742188,49.46022403240204,5.464677704125649,6.75008188188076,0.5848286350394291,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.373433682859788429397781158572,0.6523242130038247,0.22253061830997467,4.277984619140625,1.1912461519241333,0.0911699324846268,0.12545184791088104,0.011487539645698337,5,8,0.0,0.33623124448367164,0.22917257249355316,206.10995483398438,44.96537780761719,5.899729304313698,26.283084869384766,0.5926743247922942,20,8,203.9620819091797,-0.31609296852015306,0.006641954183578491,201.83197021484375,43.774131655693054,5.8085593718290705,26.157633021473885,0.5811867851465958,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.159996104466052855396410079250,0.6944168734491315,0.23069489002227783,5.3805389404296875,1.4897550344467163,0.1192294992506504,0.16915947198867798,0.014527373491889902,5,8,0.0,0.613716570168183,0.24031008780002594,251.98912048339844,54.11465072631836,2.8680740952491766,3.8912487030029297,0.578246253212293,20,8,251.6612091064453,-0.08070030328094846,0.009615197777748108,246.60858154296875,52.62489569187164,2.748844595998526,3.7220892310142517,0.563718879720403,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668,0.6605726804282761,0.23311786353588104,16.268905639648438,3.425926923751831,0.4044831597805024,0.6120151877403259,0.043417996577421826,10,8,14.0,0.664013082785646,0.2328462302684784,205.50270080566406,27.045358657836914,6.487201991081257,67.10697174072266,0.6051380968146859,15,8,70.2026596069336,0.003440402357369865,-0.0002716332674026489,189.23379516601562,23.619431734085083,6.082718831300754,66.49495655298233,0.561720100237264,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.428038562098395445838061018440,0.6259512729263619,0.2457023411989212,4.4246826171875,1.2642078399658203,0.10520497858524322,0.1429309844970703,0.012274320228232277,5,8,0.0,0.6231772971986496,0.24137479066848755,235.59715270996094,53.5543212890625,4.247278709411619,4.618429183959961,0.5704427338070339,15,8,234.72743225097656,-0.002773975727712319,-0.004327550530433655,231.17247009277344,52.29011344909668,4.142073730826375,4.475498199462891,0.5581684135788016,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071,0.6367791242343214,0.2266998589038849,28.641845703125,7.3402910232543945,0.5211578488349909,0.7086653709411621,0.07253236933549244,10,8,28.0,0.5052246306726593,0.22722139954566956,187.57647705078125,43.49469757080078,8.24828500747673,21.922578811645508,0.6260203148523944,25,8,182.18380737304688,-0.13155449356166204,0.000521540641784668,158.93463134765625,36.15440654754639,7.727127158641738,21.213913440704346,0.553487945516902,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.168737928729363683423228050295,0.5945951292856154,0.22866290807724,5.958465576171875,1.5474178791046143,0.14654930770397187,0.2111557126045227,0.016440912189086276,5,8,0.0,0.5336815241260608,0.2281915843486786,221.82962036132812,44.93656539916992,5.601786842346192,8.65264892578125,0.5681901820288764,20,8,220.63189697265625,-0.060913605159554574,-0.00047132372856140137,215.87115478515625,43.38914752006531,5.45523753464222,8.441493213176727,0.5517492698397901,False
