,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5381946173055474,0.23319756344531303,128.62314042959127,25.4753923990705,2.7465070881238116,8.276415728166834,0.3324903265229956
std,0.12165424917889758,0.016140883593024017,51.901664122349885,11.1488783247708,1.5594275158341304,11.295521474344143,0.1315264690617991
min,0.0003859620103106994,0.08351884037256241,14.690261840820312,2.732407569885254,0.3437993216514583,0.40970152616500854,0.038348136872715405
1%,0.09543659342383722,0.19638717129826547,32.32684516906738,5.6803561878204345,0.5851889085650441,0.7464119637012482,0.08274353105648362
5%,0.2687461316307576,0.21276895999908446,47.0030101776123,9.162225532531739,0.9161073470711699,1.343011212348938,0.14185922678526902
25%,0.5093801030264207,0.2254490964114666,91.4382438659668,17.276488304138184,1.6985572221875191,2.6712921857833862,0.2446043678641318
50%,0.5679651642347101,0.2330358549952507,125.8195571899414,24.783944129943848,2.3934790384769427,4.711717128753662,0.3195439578043089
75%,0.61436004670535,0.24165039137005806,163.4455223083496,31.892369747161865,3.428072113394733,8.923801898956299,0.4060374665419261
95%,0.6662455297708755,0.25788685530424116,215.90309143066403,44.3614761352539,5.659090425252914,29.62598791122436,0.5653251588320719
99%,0.692577209492635,0.26783076524734495,257.1329263305664,55.74959049224853,7.948173824787126,52.23455165863036,0.6767895468009312
max,0.7245704753961635,0.2799980342388153,307.2984619140625,76.23157501220703,13.852422914505002,123.36736297607422,0.9807421701961093
