,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5383024854368704,0.23304874963454297,39.33823249576328,8.031982028638726,0.8015494913138608,1.6855050107057266,0.1015348754696758
std,0.09683913810502648,0.013154226527449747,50.168558554660436,9.962438646471881,1.2252409602764494,4.039927412605514,0.12722742427944086
min,0.1805429178040643,0.178329199552536,1.0260429382324219,0.2805691361427307,0.02146260691806674,0.030806971713900566,0.0028805182960298325
1%,0.2248438853718002,0.2013813741505146,1.8089224243164064,0.4719099125266075,0.04008816399909555,0.05582013908773661,0.005093629240370873
5%,0.3324158785179944,0.21340411603450776,2.505085754394531,0.6527836948633194,0.053800308555364613,0.07430998124182224,0.006831220625841784
25%,0.5011905079905751,0.22479913756251335,4.300880432128906,1.1225029826164246,0.09661820480599999,0.134013794362545,0.011854473897897535
50%,0.5611693754815296,0.231635220348835,8.450531005859375,1.8987212777137756,0.16984086170792573,0.24904488027095795,0.029851722076931694
75%,0.6019590221993835,0.24112466350197792,67.15501022338867,13.26659369468689,1.0751243796944618,1.398307740688324,0.16384056980907916
95%,0.6526293491732895,0.256185020506382,142.37184219360353,29.435507774353024,3.362315283298491,7.055582547187805,0.3643887076238789
99%,0.6731517617906325,0.26722074806690216,196.1526345825195,40.365192070007325,5.386968421602247,20.427036685943598,0.4995845313883882
max,0.7174148660932802,0.2798745334148407,278.0760498046875,49.884849548339844,10.559131479263257,46.73324203491211,0.8294851175414176
