source,seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,qc_badness,qc_bucket,qc_rank_worst
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.npy,0.5746894982784063,0.33595722913742065,0.23113256692886353,0.9098039269447327,278.0760498046875,47.050167083740234,4.502436399459839,10.559131479263257,36.085044860839844,22.16299057006836,53,45,8,158.0,0.8294851175414176,high_review,1
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.npy,0.602291119285339,0.32188645005226135,0.22704589366912842,0.9725490212440491,243.02365112304688,36.53437423706055,3.8601445913314607,8.673440818786629,18.20714569091797,30.36808967590332,33,25,8,102.0,0.7327272868262399,high_review,2
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.npy,0.5886359993588716,0.31559547781944275,0.2337583750486374,0.8745098114013672,275.966796875,40.315399169921875,2.7448400259017944,7.447588491439847,46.73324203491211,20.527156829833984,23,15,8,104.0,0.7289882202678265,high_review,3
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.npy,0.6202671262386902,0.3207181990146637,0.2282109260559082,0.8941176533699036,214.90591430664062,29.182315826416016,2.839086914062499,6.5735711479187104,16.226367950439453,25.379159927368164,43,35,8,85.0,0.6117817914538916,high_review,4
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953.npy,0.5660063881304415,0.3183820843696594,0.2218663990497589,0.8980392217636108,209.6744384765625,40.698421478271484,2.45542217493057,4.763152399063095,8.21275520324707,12.583539009094238,43,35,8,207.0,0.5203153894530398,high_review,5
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.npy,0.5096332460109549,0.33507004380226135,0.23096399009227753,0.929411768913269,182.88494873046875,33.240318298339844,2.386011493206025,6.368901391029398,32.15651321411133,9.66157054901123,18,10,8,107.0,0.517345446390577,high_review,6
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138.npy,0.6140096618357488,0.3448621332645416,0.23698429763317108,1.0,195.96446228027344,36.05962371826172,2.180543029308319,5.19336142539979,8.230232238769531,13.454699516296387,23,15,8,190.0,0.5123076121542193,high_review,7
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729.npy,0.6194871794871795,0.3553778827190399,0.2535419166088104,1.0,177.66160583496094,30.875627517700195,2.293295907974238,5.35241426467896,9.764569282531738,23.086315155029297,18,10,8,165.0,0.5079780268987021,high_review,8
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.npy,0.5731845957083984,0.3281014561653137,0.23335599899291992,0.8823529481887817,174.33514404296875,29.684804916381836,2.7599164724349983,5.567476234436035,19.783390045166016,19.167098999023438,48,40,8,122.0,0.5001764137691922,high_review,9
ground_truth,1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.npy,0.5624447547430855,0.3425697684288025,0.22531457245349884,0.8470588326454163,162.51243591308594,30.916763305664062,2.3203482627868652,6.720320034027081,13.300643920898438,12.164592742919922,48,40,8,134.0,0.4994960891935554,high_review,10
