,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5483953237407075,0.23321936243666788,148.12595905699172,28.859522534014136,3.5027271122490413,13.367667934723064,0.38911741953422607
std,0.10694184410511345,0.017001856463035234,53.18065028854761,11.755623810444261,1.9516139606887966,17.529107078829252,0.14645546248786687
min,0.00028707135027924215,0.024373138323426247,1.8838958740234375,0.4952954351902008,0.04363190084695818,0.05791251361370087,0.005158894014027384
1%,0.13036603256579252,0.19615284830331803,21.79585998535157,4.3180561971664435,0.3104334808751942,0.4307976892590524,0.052485819629652646
5%,0.32695321654251835,0.21316058561205864,62.14097900390625,11.343881416320801,1.2294434509277345,2.027494430541992,0.16930557307561278
25%,0.5138931306604653,0.22554754838347435,112.09178924560547,20.77659034729004,2.280384552478792,4.2647175788879395,0.2978792017406887
50%,0.5698577259128986,0.2327858731150627,145.64096069335938,27.90923023223877,3.1340207016467785,7.478921413421631,0.3792923844973246
75%,0.6147224181591606,0.24162398278713226,182.74156188964844,35.98668098449707,4.287781953811651,14.50948452949524,0.4681837047947775
95%,0.6677306022268069,0.25758318305015565,237.3935729980468,48.01200294494629,6.54064936161042,44.897706222534175,0.6405596331153974
99%,0.6960653312903359,0.2679324445128441,279.42999999999995,63.22416217803954,11.379750607585905,91.5379773712158,0.8560217204758828
max,0.7267848402209636,0.28197765350341797,338.0,79.03287506103516,16.879084186553897,163.22093200683594,1.0
