,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5361760469756386,0.23341833189264075,40.60122392413852,8.386741971949467,0.7683948570132668,1.4663769304227956,0.10322945867098827
std,0.1005464326856973,0.013442057670300229,53.40376190673343,10.720122897202991,1.2708879345260211,4.626949218145428,0.13416488552436145
min,0.17905487765759523,0.17672142386436462,1.0290260314941406,0.27786561846733093,0.02142004370689391,0.030785901471972466,0.0028870276626820363
1%,0.2225747351959669,0.20178813323378564,1.8018517303466797,0.4727590921521187,0.04016611410677433,0.05656318590044975,0.0050501999509963685
5%,0.3221232455414774,0.2136571116745472,2.4588333129882813,0.6397217810153961,0.05331864064000547,0.07370686382055283,0.0066288238594225685
25%,0.4949932078216231,0.22485289350152016,4.378490447998047,1.1453437805175781,0.09632238486781709,0.13235591351985931,0.011933344584869013
50%,0.5605538629336396,0.2321944609284401,7.4626922607421875,1.8145337104797363,0.15495370864868163,0.213320292532444,0.02957971820243531
75%,0.603537035216702,0.2412327378988266,67.43458938598633,13.311089038848877,1.0059760174155237,1.1755925118923187,0.16185291084051132
95%,0.6549887464000508,0.2572737574577332,155.3273712158203,30.93010396957397,3.136270849943159,5.319561290740966,0.39435937438262814
99%,0.6810221601731108,0.269605875313282,210.0662075805664,44.16898483276366,5.697069421339029,18.798933601379392,0.5265971516605483
max,0.7177295294035382,0.28019294142723083,322.424560546875,67.52570343017578,13.430771493911779,78.47962188720703,0.9106935627725423
