seriesuid,foreground_fraction_gt,foreground_std_gt,z_range_gt,z_std_gt,grad_p99_gt,grad_max_gt,qc_badness_gt,control_labels_gt,anchor_labels_gt,control_z_range_gt,foreground_fraction_detector,foreground_std_detector,z_range_detector,z_std_detector,grad_p99_detector,grad_max_detector,qc_badness_detector,control_labels_detector,anchor_labels_detector,control_z_range_detector,foreground_fraction_delta_detector_minus_gt,foreground_std_delta_detector_minus_gt,z_range_delta_detector_minus_gt,z_std_delta_detector_minus_gt,grad_p99_delta_detector_minus_gt,grad_max_delta_detector_minus_gt,qc_badness_delta_detector_minus_gt,detector_better_qc
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,0.5831714581714582,0.2373020201921463,2.8711090087890625,0.7145785093307495,0.057939150370657444,0.07581465691328049,0.007643101499933335,1,8,0.0,0.3845182595182595,0.23138664662837982,289.0,78.08292388916016,14.792097568511963,162.4268035888672,1.0,35,8,230.36856079101562,-0.1986531986531987,-0.0059153735637664795,286.12889099121094,77.3683453798294,14.734158418141305,162.3509889319539,0.9923568985000667,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,0.44203415349261066,0.24897679686546326,6.0260467529296875,1.5999038219451904,0.17680399999022484,0.24185533821582794,0.018063624053034518,5,8,0.0,0.5102817068822061,0.25090649724006653,300.0,62.10261154174805,16.879084186553897,163.22093200683594,1.0,35,8,128.71286010742188,0.06824755338959543,0.0019297003746032715,293.9739532470703,60.502707719802856,16.702280186563673,162.9790766686201,0.9819363759469655,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.329326052298830421573852261436,0.4514382569773565,0.22316378355026245,9.37408447265625,2.416461229324341,0.17754701733589173,0.20007896423339844,0.023306408578819698,10,8,8.0,0.4343898104265403,0.22260481119155884,267.0,73.29578399658203,14.602551126480119,138.44882202148438,0.983162593364716,35,8,82.76669311523438,-0.01704844655081622,-0.0005589723587036133,257.62591552734375,70.87932276725769,14.425004109144227,138.24874305725098,0.9598561847858963,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.160124400349792614505500125883,0.40446039116364146,0.25236549973487854,5.76678466796875,1.4434329271316528,0.15800644680857642,0.2268954962491989,0.016628618224627436,1,8,0.0,0.6109821302940762,0.23806798458099365,306.0,49.26470947265625,11.745285511016803,123.34894561767578,0.9034966887368084,35,8,197.30160522460938,0.20652173913043476,-0.014297515153884888,300.23321533203125,47.8212765455246,11.587279064208227,123.12205012142658,0.886868070512181,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.419601611032172899567156073142,0.586483390607102,0.22694392502307892,3.1198883056640625,0.7674375772476196,0.07041629806160928,0.09576648473739624,0.008365170422361958,1,8,0.0,0.49907351256653865,0.24623358249664307,265.0,65.62055206298828,11.633961257934589,93.69206237792969,0.8580458017137321,35,8,155.51434326171875,-0.08740987804056333,0.019289657473564148,261.88011169433594,64.85311448574066,11.56354495987298,93.59629589319229,0.8496806312913702,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.724562063158320418413995627171,0.5973562788377603,0.2314436137676239,3.1427764892578125,0.7769274115562439,0.0701577366143465,0.1006416380405426,0.008577872947437896,1,8,0.0,0.32452924304776154,0.23997434973716736,298.0464172363281,46.7243537902832,9.840362091064467,84.6728744506836,0.8572811915792774,35,8,239.43344116210938,-0.2728270357899988,0.008530735969543457,294.9036407470703,45.94742637872696,9.77020435445012,84.57223281264305,0.8487033186318395,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.877026508860018521147620598474,0.506367679061406,0.2696830630302429,5.011444091796875,1.327752709388733,0.1408397591114044,0.19816811382770538,0.014585000714990826,1,8,0.0,0.4289147506859684,0.28197765350341797,278.0,79.03287506103516,10.286852645874012,35.27607727050781,0.8558335236443411,35,8,181.04815673828125,-0.0774529283754376,0.012294590473175049,272.9885559082031,77.70512235164642,10.146012886762607,35.07790915668011,0.8412485229293503,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139,0.5360729133354653,0.24493257701396942,2.093769073486328,0.49950990080833435,0.040203464217484,0.0545903705060482,0.00543100704645945,1,8,0.0,0.449216501439079,0.24714769423007965,247.34030151367188,62.90230178833008,10.932436761856081,32.99144744873047,0.842042087841034,35,8,245.6890869140625,-0.08685641189638627,0.0022151172161102295,245.24653244018555,62.402791887521744,10.892233297638597,32.93685707822442,0.8366110807945745,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,0.6724007846687793,0.2100934237241745,2.3325424194335938,0.616898775100708,0.057781335711479184,0.07810379564762115,0.006562466598219341,5,8,0.0,0.4540704692922891,0.2438155859708786,275.0,41.451908111572266,10.646965837478634,61.783817291259766,0.8201502555741201,35,8,93.33336639404297,-0.21833031537649017,0.0337221622467041,272.6674575805664,40.83500933647156,10.589184501767155,61.705713495612144,0.8135877889759008,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.179162671133894061547290922949,0.5791129160694378,0.23299750685691833,86.21614837646484,16.885547637939453,0.9169763773679732,0.9939181804656982,0.1902812453276581,3,8,85.0,0.49569995222169133,0.24053257703781128,315.0,72.33456420898438,15.052893009185782,103.60621643066406,1.0,35,8,150.68142700195312,-0.08341296384774649,0.007535070180892944,228.78385162353516,55.44901657104492,14.135916631817809,102.61229825019836,0.8097187546723419,False
