,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5614714705100997,0.2330608279318423,136.9650527206627,19.24648433896742,3.160792257345432,13.501237802473302,0.3443718114551196
std,0.09747317983457816,0.013323446577557508,49.85550634023543,8.084613221864108,1.4232450350796113,14.520066293248354,0.12241166574299339
min,0.17039880087209303,0.18716269731521606,0.0,0.0,0.0,0.0,0.0
1%,0.19894804913971997,0.19956273347139358,12.680048141479494,2.102201064825059,0.2602778158724309,0.3646554231643677,0.05053284265528453
5%,0.3284621273085115,0.2138736627995968,47.80538749694824,6.892479515075684,0.9468583223521726,2.192341649532318,0.14414848962176893
25%,0.5339419037170116,0.22460879758000374,103.51268005371094,13.58876085281372,2.214766317605972,4.820252895355225,0.25947919687959875
50%,0.5823791065279029,0.23219464719295502,139.53492736816406,18.90638828277588,3.0288342738151557,8.65343713760376,0.34598199246459466
75%,0.6225445591128372,0.2406001128256321,171.64056396484375,24.153584003448486,3.9439060962200245,16.627824783325195,0.429237942130698
95%,0.6710519804789468,0.2560999721288681,215.13178024291992,33.48152961730957,5.8715475578308105,42.340408515930164,0.5451357250404358
99%,0.6956136384225736,0.2693787133693695,244.4810693359375,40.27141548156738,6.819610229444512,71.70250846862793,0.6224780849445658
max,0.7236740282159653,0.28072670102119446,274.9879150390625,50.08121109008789,9.357642965316762,116.0415267944336,0.6758157490147487
