,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5429960724169558,0.23276904629761572,32.41362612097113,5.104358166334563,0.657431966631845,2.0073903061670824,0.08023214872514411
std,0.0934701532158743,0.013054283981501907,45.842739310078855,7.271847152283107,1.016026784998232,4.866398737674461,0.11023897166457966
min,0.21148013345465574,0.18027926981449127,0.0,0.0,0.0,0.0,0.0
1%,0.2513169792144908,0.2041172218322754,0.0,0.0,0.0,0.0,0.0
5%,0.3449642726669344,0.21320056095719336,0.0,0.0,0.0,0.0,0.0
25%,0.5031972176687086,0.22491766139864922,0.0,0.0,0.0,0.0,0.0
50%,0.5631877919638912,0.23163925856351852,1.0999984741210938,0.24473758041858673,0.02701007899828255,0.03891962952911854,0.019075414006477345
75%,0.6046817159821644,0.24053648859262466,59.0,8.793678760528564,1.0439904370903967,1.8120764791965485,0.14114153093728765
95%,0.6546368951686768,0.2553209841251373,131.64999999999998,20.492545890808106,3.010922405719757,10.083816003799438,0.31443194213105563
99%,0.683264208378465,0.26734211295843124,176.64999999999998,28.928512439727783,4.0863454913139305,23.010273990631095,0.4376744341908296
max,0.7173099783231942,0.28465256094932556,207.0,37.260902404785156,6.425920085906988,64.15631103515625,0.5060009948465555
