seriesuid,foreground_fraction_gt,foreground_std_gt,z_range_gt,z_std_gt,grad_p99_gt,grad_max_gt,qc_badness_gt,control_labels_gt,anchor_labels_gt,control_z_range_gt,foreground_fraction_detector,foreground_std_detector,z_range_detector,z_std_detector,grad_p99_detector,grad_max_detector,qc_badness_detector,control_labels_detector,anchor_labels_detector,control_z_range_detector,foreground_fraction_delta_detector_minus_gt,foreground_std_delta_detector_minus_gt,z_range_delta_detector_minus_gt,z_std_delta_detector_minus_gt,grad_p99_delta_detector_minus_gt,grad_max_delta_detector_minus_gt,qc_badness_delta_detector_minus_gt,detector_better_qc
1.3.6.1.4.1.14519.5.2.1.6279.6001.292049618819567427252971059233,0.5895420746521387,0.220550999045372,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.45013988073326955,0.23063671588897705,238.08631896972656,43.01821517944336,6.8155850076675515,18.16038703918457,0.6758157490147487,35,8,238.08631896972656,-0.13940219391886916,0.010085716843605042,238.08631896972656,43.01821517944336,6.8155850076675515,18.16038703918457,0.6758157490147487,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.301582691063019848479942618641,0.5778346968422662,0.22675111889839172,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.7082090883604761,0.2220504879951477,266.9990234375,32.3725471496582,6.468431820869448,13.081765174865723,0.6616118069277869,35,8,266.9990234375,0.13037439151820995,-0.0047006309032440186,266.9990234375,32.3725471496582,6.468431820869448,13.081765174865723,0.6616118069277869,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.302403227435841351528721627052,0.5258846244067918,0.2311788946390152,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.5181616413143507,0.2271183431148529,232.01197814941406,46.95638656616211,5.486799631118774,7.47451639175415,0.6538172627237108,35,8,232.01197814941406,-0.007722983092441127,-0.0040605515241622925,232.01197814941406,46.95638656616211,5.486799631118774,7.47451639175415,0.6538172627237108,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.428038562098395445838061018440,0.621845058855735,0.24746297299861908,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6329774614472123,0.24103869497776031,243.21792602539062,38.04801940917969,6.846548252105713,24.826820373535156,0.6371590411504109,35,8,243.21792602539062,0.011132402591477297,-0.006424278020858765,243.21792602539062,38.04801940917969,6.846548252105713,24.826820373535156,0.6371590411504109,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.168737928729363683423228050295,0.5965141353591706,0.22961083054542542,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.548440065681445,0.22861944139003754,224.1925048828125,25.066558837890625,8.253571720123293,12.263907432556152,0.6324816056781345,35,8,224.1925048828125,-0.04807406967772565,-0.0009913891553878784,224.1925048828125,25.066558837890625,8.253571720123293,12.263907432556152,0.6324816056781345,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.341557859428950960906150406596,0.53725084222347,0.24957986176013947,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.5623771757439641,0.23869499564170837,248.05670166015625,40.22284698486328,6.246161923408488,25.5197811126709,0.6319292154259146,35,8,248.05670166015625,0.025126333520494093,-0.010884866118431091,248.05670166015625,40.22284698486328,6.246161923408488,25.5197811126709,0.6319292154259146,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.254138388912084634057282064266,0.6794789745134209,0.2653636634349823,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6762978579226744,0.25829648971557617,216.35711669921875,20.0520076751709,8.008844137191772,45.30913162231445,0.61971676852968,35,8,216.35711669921875,-0.003181116590746491,-0.007067173719406128,216.35711669921875,20.0520076751709,8.008844137191772,45.30913162231445,0.61971676852968,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.655242448149322898770987310561,0.6519474448655236,0.24092938005924225,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6284245145995759,0.2533702254295349,243.8182373046875,24.664888381958008,6.65945969581601,42.866519927978516,0.6164760043568073,35,8,243.8182373046875,-0.02352293026594765,0.012440845370292664,243.8182373046875,24.664888381958008,6.65945969581601,42.866519927978516,0.6164760043568073,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.246225645401227472829175288633,0.6293991744381593,0.24499604105949402,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6209448096621312,0.24128621816635132,243.3377227783203,33.81962203979492,6.123813352584837,14.238274574279785,0.6163647992557948,35,8,243.3377227783203,-0.008454364776028123,-0.0037098228931427,243.3377227783203,33.81962203979492,6.123813352584837,14.238274574279785,0.6163647992557948,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139,0.5241125679565078,0.24383901059627533,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.39379597057882954,0.2448308914899826,241.71273803710938,50.08121109008789,3.850230636596681,6.746572494506836,0.6118729791429307,35,8,245.6890869140625,-0.1303165973776783,0.0009918808937072754,241.71273803710938,50.08121109008789,3.850230636596681,6.746572494506836,0.6118729791429307,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.199261544234308780356714831537,0.4466432273933768,0.242002934217453,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6831807001209022,0.23602843284606934,263.2976989746094,47.818363189697266,4.122582445144651,4.798471450805664,0.6041722946908737,35,8,263.2976989746094,0.23653747272752534,-0.005974501371383667,263.2976989746094,47.818363189697266,4.122582445144651,4.798471450805664,0.6041722946908737,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.194632613233275988184244485809,0.39444725524917784,0.24726644158363342,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.57363605700312,0.2509598731994629,194.9865264892578,35.23960494995117,8.069920015335084,18.741994857788086,0.6013260609838698,35,8,194.9865264892578,0.1791888017539422,0.0036934316158294678,194.9865264892578,35.23960494995117,8.069920015335084,18.741994857788086,0.6013260609838698,False
