qc_rank_best_no_nodule,seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,pseudo_region_count,qc_badness,qc_rank_worst_no_nodule
1,1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986.npy,0.628838959227241,0.3519589006900787,0.2279660999774933,1.0,1.5125160217285156,0.4221310317516327,0.0362321715801954,0.0438701618462801,0.0618223510682582,0.2631771266460418,13,5,8,0.0,1,0.004421802950816,287
2,1.3.6.1.4.1.14519.5.2.1.6279.6001.138894439026794145866157853158,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.138894439026794145866157853158/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.138894439026794145866157853158.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.138894439026794145866157853158/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.138894439026794145866157853158.npy,0.4605735727686947,0.4743112921714782,0.2066023051738739,0.9411764740943908,1.7099838256835938,0.4810034334659576,0.0347845219075679,0.041518732458353,0.0583607926964759,0.2890336811542511,13,5,8,0.0,1,0.0047378320857882,286
3,1.3.6.1.4.1.14519.5.2.1.6279.6001.201890795870532056891161597218,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.201890795870532056891161597218/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.201890795870532056891161597218.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.201890795870532056891161597218/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.201890795870532056891161597218.npy,0.5747340425531915,0.3374508321285248,0.2130074352025985,0.901960790157318,1.7486419677734375,0.4744245111942291,0.0344905709847807,0.0424647197499871,0.0634462162852287,0.2872080206871032,13,5,8,0.0,1,0.0048265849180933,285
4,1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145.npy,0.5787213371752834,0.315790593624115,0.2032210975885391,0.8196078538894653,1.8665771484375,0.4870305359363556,0.0304566396400332,0.0373594573140144,0.0558793991804122,0.3039818704128265,13,5,8,0.0,1,0.0049072609010669,284
5,1.3.6.1.4.1.14519.5.2.1.6279.6001.504324996863016748259361352296,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.504324996863016748259361352296/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.504324996863016748259361352296.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.504324996863016748259361352296/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.504324996863016748259361352296.npy,0.6236859762916573,0.3232143521308899,0.2243722379207611,0.9333333373069764,1.9318313598632812,0.5020531415939331,0.0322410628199577,0.0390268290042875,0.0579783022403717,0.3064656853675842,13,5,8,0.0,1,0.0050715586596065,283
6,1.3.6.1.4.1.14519.5.2.1.6279.6001.897279226481700053115245043064,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.897279226481700053115245043064/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.897279226481700053115245043064.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.897279226481700053115245043064/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.897279226481700053115245043064.npy,0.5382702720387365,0.327969342470169,0.23433518409729,0.937098042964932,2.084075927734375,0.4616135954856872,0.0395311769098043,0.0546408966183661,0.1252396702766418,0.3555466830730438,13,5,8,1.0,1,0.0059027905182705,282
7,1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514.npy,0.6216762314681971,0.2853705883026123,0.220684677362442,0.91372549533844,2.1136703491210938,0.5363293886184692,0.0412294868379831,0.0515806966274976,0.074193350970745,0.4102813005447387,13,5,8,0.0,1,0.0059819410374595,281
8,1.3.6.1.4.1.14519.5.2.1.6279.6001.330043769832606379655473292782,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.330043769832606379655473292782/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.330043769832606379655473292782.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.330043769832606379655473292782/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.330043769832606379655473292782.npy,0.5967833529387904,0.3394286036491394,0.2334655970335006,0.9529411792755128,2.122772216796875,0.5956788063049316,0.043829315342009,0.0535757858306169,0.0710469633340835,0.3955272734165191,13,5,8,0.0,1,0.0060241767660611,280
9,1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709.npy,0.6659123744538634,0.3348045647144317,0.2219937890768051,0.9254902005195618,2.1991043090820312,0.6368664503097534,0.0446848288178443,0.0539110374450683,0.0747221410274505,0.3831104636192322,13,5,8,0.0,1,0.0061338615576426,279
10,1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585.npy,0.5686304909560723,0.3539876043796539,0.2287328988313675,0.9098039269447328,2.3087310791015625,0.6086153388023376,0.0456024238839745,0.0544843471050262,0.078818641602993,0.379540741443634,13,5,8,0.0,1,0.0063258394148614,278
11,1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879.npy,0.6724007846687793,0.348398208618164,0.2100934237241745,0.95686274766922,2.3325424194335938,0.616898775100708,0.047700461000204,0.0577813357114791,0.0781037956476211,0.4236551225185394,13,5,8,0.0,1,0.0065624665982193,277
12,1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.980362852713685276785310240144.npy,0.5289625850340136,0.3300719857215881,0.2345959693193435,0.9882352948188782,2.5530471801757812,0.7235506176948547,0.0502068050205707,0.0609478542208671,0.0829903706908226,0.4572803080081939,13,5,8,0.0,1,0.0070996927224927,276
13,1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306.npy,0.6305458793099852,0.3677999377250671,0.2256660908460617,0.9176470637321472,2.5911788940429688,0.6739671230316162,0.059815052896738,0.0723304837942123,0.1037204191088676,0.4450754523277282,13,5,8,0.0,1,0.0074776025646262,275
