seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,pseudo_region_count,qc_badness,qc_rank_worst_no_nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766.npy,0.4817220876458929,0.321899801492691,0.2423170506954193,1.0,322.424560546875,67.52570343017578,4.162479805946348,10.119209146499747,78.47962188720703,31.38435935974121,28,20,8,104.0,4,0.9106935627725424,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009.npy,0.3843386828998339,0.3769816160202026,0.2356668710708618,0.9254902005195618,257.4156494140625,45.80836486816406,5.012636661529541,13.43077149391178,50.59560775756836,34.55741500854492,18,10,8,78.0,2,0.9087434827486685,2
1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403.npy,0.5943282058759204,0.3422382473945617,0.2531059384346008,1.0,290.0,55.91830062866211,3.3248806476593007,8.584789810180697,36.23810958862305,21.34427833557129,18,10,8,140.0,2,0.788308757273357,3
1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398.npy,0.5941483936766956,0.3401241600513458,0.2424048483371734,1.0,203.1791076660156,31.454851150512695,3.0314664721488933,7.273644814491247,17.639331817626953,23.19674301147461,33,25,8,130.0,5,0.6083895083480404,4
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866.npy,0.6419223300970873,0.3183849155902862,0.2301759123802185,0.886274516582489,175.97366333007812,21.6846981048584,2.745949673652648,8.038300533294723,39.010986328125,9.592792510986328,38,30,8,125.0,6,0.555755771573386,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210.npy,0.6771309685658963,0.3587306439876556,0.2471628338098526,1.0,158.21981811523438,27.99103546142578,2.6812722086906433,7.254453420639067,16.014944076538086,20.992591857910156,43,35,8,124.0,7,0.5279835036065852,6
1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.npy,0.5217970561483968,0.3195924460887909,0.2232917696237564,0.8588235378265381,163.8870391845703,33.87179183959961,2.937122344970703,6.352292060852026,18.7426700592041,19.906633377075195,48,40,8,115.0,8,0.5079507901933451,7
1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314.npy,0.614032326602559,0.3447312712669372,0.2233498245477676,0.9215686321258544,177.08206176757812,31.170238494873047,3.291579604148864,5.600187482833863,11.72971534729004,16.271203994750977,23,15,8,154.0,3,0.4993006251970927,8
1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.npy,0.5568587063453025,0.322297066450119,0.2296934872865677,0.9686274528503418,144.81759643554688,25.339181900024418,3.313357353210449,7.140164971351621,37.754417419433594,10.524982452392578,53,45,8,92.0,9,0.4789564597606658,9
1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671.npy,0.6491237779007564,0.3158768713474273,0.2312445193529129,0.929411768913269,143.48422241210938,25.542802810668945,3.096600008010864,6.345433163642866,15.753843307495115,16.10943031311035,33,25,8,93.0,5,0.4653020996252691,10
