seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,qc_badness,qc_rank_worst
1.3.6.1.4.1.14519.5.2.1.6279.6001.235364978775280910367690540811,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.235364978775280910367690540811/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.235364978775280910367690540811.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.235364978775280910367690540811/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.235364978775280910367690540811.npy,0.5607276618512573,0.4241769313812256,0.2416844666004181,0.7882353067398071,1.0260429382324219,0.2805691361427307,0.02174004754051566,0.0260596239566803,0.03642997518181801,0.17489610612392426,13,5,8,0.0,0.0014169616331656774,888
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576.npy,0.4882753270566663,0.44120097160339355,0.25665366649627686,0.8274509906768799,1.4718513488769531,0.3731585741043091,0.02920582685619586,0.034529509022831924,0.04810742661356926,0.2144332379102707,13,5,8,0.0,0.0019399042370625672,887
1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212.npy,0.5067321428571429,0.43145230412483215,0.2411949336528778,0.9529411792755127,1.6677436828613281,0.44372886419296265,0.03276307191699739,0.03932478789240122,0.05440618097782135,0.28829145431518555,13,5,8,0.0,0.002204579874759333,886
1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739.npy,0.580513495720869,0.45198169350624084,0.2085084468126297,0.8352941274642944,1.6917839050292969,0.4427330195903778,0.033413657173514355,0.04014560129493474,0.05791091546416283,0.28518611192703247,13,5,8,0.0,0.0022446119893238777,885
1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139.npy,0.5357691077710266,0.42036986351013184,0.24482053518295288,0.8627451062202454,1.917999267578125,0.4897914528846741,0.03333079684525728,0.03950279954820871,0.05399779602885246,0.31429415941238403,13,5,8,0.0,0.0023493961339712973,884
1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.228934821089041845791238006047.npy,0.5412872261875461,0.3941948413848877,0.24735599756240845,0.8721960860490936,1.97576904296875,0.5442318320274353,0.03255021236836911,0.03901814941316843,0.053489044308662415,0.3372887969017029,13,5,8,0.0,0.0023657393242439463,883
1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.483655032093002252444764787700.npy,0.56386419977024,0.3077711760997772,0.22873757779598236,0.8392156958580017,2.013019561767578,0.4724943935871124,0.03434247337281704,0.04033859297633171,0.05599410831928253,0.2847763001918793,13,5,8,0.0,0.0024293484727127687,882
1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709.npy,0.5122814273569082,0.3374442458152771,0.21997332572937012,0.7647058963775635,2.0124664306640625,0.5412874221801758,0.03409836739301681,0.0407020854204893,0.059793878346681595,0.32464608550071716,13,5,8,0.0,0.0024408546820903817,881
1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086.npy,0.619948717948718,0.31351757049560547,0.2170705795288086,0.8470588326454163,1.7924346923828125,0.4679983854293823,0.036592894978821275,0.04456116516143084,0.060496848076581955,0.340132474899292,13,5,8,0.0,0.002444034919070287,880
1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015.npy,0.5321472392638037,0.2940768003463745,0.218384250998497,0.8156862854957581,1.938568115234375,0.49364611506462097,0.0348609983921051,0.04240910325199365,0.061723679304122925,0.3333451449871063,13,5,8,0.0,0.002455278141931113,879
