seriesuid,region_index,group,status,rel_z,rel_y,rel_x,z_span,y_span,x_span
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,0,with_nodules_real,with_nodules,0.648492072922062,0.43504132357510655,0.08193272115258265,0.0,4.0,4.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,1,with_nodules_real,with_nodules,0.9999648758034849,0.2840613940530572,0.7929663608562691,0.0,2.0,3.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100332161840553388986847034053,0,without_nodules_pseudo,without_nodules,0.6419204278673487,0.7727272727272727,0.708029197080292,0.0,22.0,22.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100332161840553388986847034053,1,without_nodules_pseudo,without_nodules,0.84570469068238,0.43434343434343436,0.8284671532846716,0.0,18.0,18.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100332161840553388986847034053,2,without_nodules_pseudo,without_nodules,0.9761266188840001,0.33434343434343433,0.27956204379562044,8.0,25.0,28.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,0,with_nodules_real,with_nodules,0.9734156269630002,0.6298453766165428,0.8032768845115008,0.0,4.0,4.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100530488926682752765845212286,0,without_nodules_pseudo,without_nodules,0.9965942891901308,0.14623655913978492,0.25306122448979596,1.0,14.0,20.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100530488926682752765845212286,1,without_nodules_pseudo,without_nodules,0.9102857174605388,0.543010752688172,0.13537414965986394,0.0,36.0,22.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543,0,without_nodules_pseudo,without_nodules,0.9544990438206309,0.8860000000000001,0.2790996784565916,4.0,18.0,26.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,0,with_nodules_real,with_nodules,0.92596270359223,0.5341176470588235,0.38825910931174096,0.0,16.0,13.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,1,with_nodules_real,with_nodules,0.8230779587486488,0.3970588235294118,0.745748987854251,0.0,15.0,14.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,2,with_nodules_real,with_nodules,0.3919418851184042,0.6739949843462776,0.7413665400825533,0.0,13.0,12.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,3,with_nodules_real,with_nodules,0.9994518070519307,0.6513429529526654,0.28508135220299846,0.0,6.0,6.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,0,without_nodules_pseudo,without_nodules,0.6900814480590933,0.8243902439024391,0.6907630522088354,0.0,20.0,20.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,1,without_nodules_pseudo,without_nodules,0.7803228681898979,0.23804878048780487,0.18313253012048192,3.0,20.0,20.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,2,without_nodules_pseudo,without_nodules,0.5255235642911557,0.8419512195121952,0.30361445783132524,0.0,28.0,30.0
