region_count,scan_count,probability,group
1,142,0.49477351916376305,without_nodules_generated_pseudo_regions
2,85,0.2961672473867596,without_nodules_generated_pseudo_regions
3,32,0.11149825783972125,without_nodules_generated_pseudo_regions
4,10,0.03484320557491289,without_nodules_generated_pseudo_regions
5,6,0.020905923344947737,without_nodules_generated_pseudo_regions
6,4,0.013937282229965157,without_nodules_generated_pseudo_regions
7,3,0.010452961672473868,without_nodules_generated_pseudo_regions
8,2,0.006968641114982578,without_nodules_generated_pseudo_regions
9,3,0.010452961672473868,without_nodules_generated_pseudo_regions
1,310,0.5158069883527454,with_nodules_real_nodule_count
2,159,0.26455906821963393,with_nodules_real_nodule_count
3,63,0.1048252911813644,with_nodules_real_nodule_count
4,24,0.03993344425956739,with_nodules_real_nodule_count
5,23,0.03826955074875208,with_nodules_real_nodule_count
6,11,0.018302828618968387,with_nodules_real_nodule_count
7,4,0.0066555740432612314,with_nodules_real_nodule_count
8,2,0.0033277870216306157,with_nodules_real_nodule_count
9,4,0.0066555740432612314,with_nodules_real_nodule_count
12,1,0.0016638935108153079,with_nodules_real_nodule_count
1,313,0.5207986688851913,with_nodules_generated_control_regions
2,156,0.259567387687188,with_nodules_generated_control_regions
3,64,0.1064891846921797,with_nodules_generated_control_regions
4,24,0.03993344425956739,with_nodules_generated_control_regions
5,24,0.03993344425956739,with_nodules_generated_control_regions
6,9,0.014975041597337771,with_nodules_generated_control_regions
7,4,0.0066555740432612314,with_nodules_generated_control_regions
8,2,0.0033277870216306157,with_nodules_generated_control_regions
9,4,0.0066555740432612314,with_nodules_generated_control_regions
12,1,0.0016638935108153079,with_nodules_generated_control_regions
