nodule_count,with_nodules_generated_control_regions,with_nodules_real_nodule_count,without_nodules_generated_pseudo_regions
1,0.5207986688851913,0.5158069883527454,0.49477351916376305
2,0.259567387687188,0.26455906821963393,0.2961672473867596
3,0.1064891846921797,0.1048252911813644,0.11149825783972125
4,0.03993344425956739,0.03993344425956739,0.03484320557491289
5,0.03993344425956739,0.03826955074875208,0.020905923344947737
6,0.014975041597337771,0.018302828618968387,0.013937282229965157
7,0.0066555740432612314,0.0066555740432612314,0.010452961672473868
8,0.0033277870216306157,0.0033277870216306157,0.006968641114982578
9,0.0066555740432612314,0.0066555740432612314,0.010452961672473868
12,0.0016638935108153079,0.0016638935108153079,0.0
