seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,qc_badness,qc_rank_worst
1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.npy,0.5746894982784063,0.33595722913742065,0.23113256692886353,0.8645098119974022,278.0760498046875,47.050167083740234,4.502436399459839,10.559131479263257,36.085044860839844,22.16299057006836,53,45,8,158.0,0.36,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.npy,0.602291119285339,0.32188645005226135,0.22704589366912842,0.9098039269447327,243.02365112304688,36.53437423706055,3.8601445913314607,8.673440818786629,18.20714569091797,30.36808967590332,33,25,8,102.0,0.36,2
1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.npy,0.5886359993588716,0.31559547781944275,0.2337583750486374,0.8235294222831726,275.966796875,40.315399169921875,2.7448400259017944,7.447588491439847,46.73324203491211,20.527156829833984,23,15,8,104.0,0.342046625971795,3
1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.npy,0.6202671262386902,0.3207181990146637,0.2282109260559082,0.8509804010391235,214.90591430664062,29.182315826416016,2.839086914062499,6.5735711479187104,16.226367950439453,25.379159927368164,43,35,8,85.0,0.3136410623073581,4
1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.npy,0.5624447547430855,0.3425697684288025,0.22531457245349884,0.8039215803146362,162.51243591308594,30.916763305664062,2.3203482627868652,6.720320034027081,13.300643920898438,12.164592742919922,48,40,8,134.0,0.30869508772426124,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.npy,0.5096332460109549,0.33507004380226135,0.23096399009227753,0.8392156958580017,182.88494873046875,33.240318298339844,2.386011493206025,6.368901391029398,32.15651321411133,9.66157054901123,18,10,8,107.0,0.30698929520845547,6
1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510.npy,0.5284833630421866,0.3795878291130066,0.23893581330776215,0.9782352954149132,142.37994384765625,26.702903747558594,2.8656845092773438,6.98356983661649,20.261423110961914,13.207730293273926,53,45,8,116.0,0.3060659884942894,7
1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565.npy,0.6156700242254239,0.3456857204437256,0.22282098233699799,0.9019607901573181,133.06118774414062,20.612300872802734,3.075870525836945,6.689630827903755,25.126249313354492,15.744504928588867,43,35,8,89.0,0.29133588398695015,8
1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.npy,0.5731845957083984,0.3281014561653137,0.23335599899291992,0.8313725590705872,174.33514404296875,29.684804916381836,2.7599164724349983,5.567476234436035,19.783390045166016,19.167098999023438,48,40,8,122.0,0.2777958354208204,9
1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338.npy,0.18121046486264547,0.43329739570617676,0.26330801844596863,0.8313725590705872,15.1102294921875,3.6738781929016113,0.21278293728828426,0.23877563655376433,0.29225683212280273,1.5054539442062378,13,5,8,0.0,0.2775956233732867,10
1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859.npy,0.1805429178040643,0.4118756353855133,0.24912674725055695,0.8156862854957581,15.069595336914062,3.613065004348755,0.19668306857347487,0.21121969908475877,0.2650030851364136,1.3605273962020874,13,5,8,0.0,0.2772615845510951,11
1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725.npy,0.4081061771152472,0.3171153962612152,0.23938041925430298,0.8509804010391235,127.33255767822266,25.401748657226562,1.8795799255371002,4.317397117614747,12.969182968139648,13.491827011108398,33,25,8,75.0,0.27396281116787274,12
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729.npy,0.6194871794871795,0.3553778827190399,0.2535419166088104,0.9490196108818054,177.66160583496094,30.875627517700195,2.293295907974238,5.35241426467896,9.764569282531738,23.086315155029297,18,10,8,165.0,0.27265435573260005,13
1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.618434772073433276874225174904.npy,0.18174581134869944,0.4666123390197754,0.24541670083999634,0.8666666746139526,8.343963623046875,2.0195672512054443,0.17331700474023815,0.1882760936021805,0.2486974596977234,1.216052532196045,13,5,8,0.0,0.271726923458096,14
1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398.npy,0.5878697093319735,0.3555276691913605,0.24322909116744995,0.9176470637321472,170.44635009765625,31.52974510192871,2.1698901653289777,5.359995989799498,21.53537368774414,21.774757385253906,33,25,8,126.0,0.2688922863894038,15
1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138.npy,0.6140096618357488,0.3448621332645416,0.23698429763317108,0.9529411792755127,195.96446228027344,36.05962371826172,2.180543029308319,5.19336142539979,8.230232238769531,13.454699516296387,23,15,8,190.0,0.2687842463254932,16
1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898.npy,0.6050127597520962,0.32296884059906006,0.23380252718925476,0.9098039269447327,167.1239013671875,19.627941131591797,2.114660906791687,5.348146286010739,34.0251579284668,17.723661422729492,18,10,8,41.0,0.2666613661660088,17
1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615.npy,0.18928736162361623,0.4248560965061188,0.25677403807640076,0.8509804010391235,9.002655029296875,2.1652183532714844,0.1831543520092964,0.19858081534504893,0.26206672191619873,1.2457232475280762,13,5,8,0.0,0.2658289100943259,18
1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826.npy,0.3777906976744186,0.4409615695476532,0.2452699989080429,0.8745098114013672,123.70938110351562,32.90306091308594,1.8154871463775628,3.2592681622505273,6.6041107177734375,18.710174560546875,28,20,8,111.0,0.26408678875442343,19
1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479.npy,0.19487488291181587,0.43174687027931213,0.23342685401439667,0.7921568751335144,7.61065673828125,1.832456111907959,0.1393233746290207,0.16564055889844898,0.23408854007720947,1.2730858325958252,13,5,8,0.0,0.2590959382487391,20
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223.npy,0.19863479862278804,0.4695536494255066,0.2798745334148407,0.9686274528503418,10.018218994140625,2.337002754211426,0.18405111134052277,0.2062157981097698,0.25548574328422546,1.3029632568359375,13,5,8,0.0,0.258462241862595,21
1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288.npy,0.31267399267399265,0.35789936780929565,0.25465986132621765,0.9333333373069763,84.89541625976562,16.817996978759766,0.9248419284820558,1.921536822319026,14.074703216552734,12.91916561126709,38,30,8,78.0,0.256024323279939,22
1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953.npy,0.5660063881304415,0.3183820843696594,0.2218663990497589,0.8509804010391235,209.6744384765625,40.698421478271484,2.45542217493057,4.763152399063095,8.21275520324707,12.583539009094238,43,35,8,207.0,0.2548024529695506,23
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.npy,0.35084198312897863,0.4406282603740692,0.20775654911994934,0.8509804010391235,128.1480712890625,28.10112190246582,1.3291509449481953,2.034288592338549,3.0385899543762207,15.578821182250977,28,20,8,127.0,0.2503210169515146,24
1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588.npy,0.21075880758807589,0.40955281257629395,0.2327728569507599,0.7921568751335144,7.6099853515625,1.685575008392334,0.13982778191566467,0.159326816946268,0.21463866531848907,1.2237286567687988,13,5,8,0.0,0.24499193455094423,25
1.3.6.1.4.1.14519.5.2.1.6279.6001.390513733720659266816639651938,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.390513733720659266816639651938/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.390513733720659266816639651938.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.390513733720659266816639651938/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.390513733720659266816639651938.npy,0.21245150913047592,0.40789589285850525,0.2647714614868164,0.8627451062202454,7.9239959716796875,1.827038049697876,0.17409252524375915,0.19401836156845084,0.26019343733787537,1.2162126302719116,13,5,8,0.0,0.24481274624607466,26
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410.npy,0.3398025508952661,0.35655370354652405,0.24411317706108093,0.8536862832307907,106.39561462402344,18.364734649658203,1.237222468852996,1.9017850506305713,2.123054265975952,8.874359130859375,23,15,8,106.0,0.24358945690325984,27
1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630.npy,0.6297918948521358,0.34298497438430786,0.2287500500679016,0.9490196108818054,177.900390625,45.300376892089844,2.7925824999809263,4.42368064880371,6.955267906188965,16.38667106628418,53,45,8,175.0,0.2426031714333428,28
1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366.npy,0.6717105263157894,0.31253787875175476,0.2386612743139267,0.8745098114013672,172.73211669921875,31.596134185791016,2.339868402481075,4.495942969322214,5.664755344390869,21.402402877807617,18,10,8,168.0,0.2420804335580935,29
1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757.npy,0.21610858713332212,0.5169122219085693,0.24569003283977509,0.9019607901573181,7.6593475341796875,1.6953403949737549,0.16151940524578093,0.1898782494664192,0.2541203796863556,1.2496387958526611,13,5,8,0.0,0.241331222440546,30
1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308.npy,0.6160848067126161,0.3964787721633911,0.2459172159433365,0.9098039269447327,122.16719055175781,15.070560455322266,2.258406090736388,5.222001938819878,14.395736694335938,10.248979568481445,28,20,8,95.0,0.23758572442928927,31
