seriesuid,png,grid,foreground_fraction,foreground_mean,foreground_std,image_p99,z_range,z_std,grad_p95,grad_p99,grad_max,edge_z_std,control_points,control_labels,anchor_labels,control_z_range,qc_badness,qc_rank_worst
1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756.npy,0.5746894982784063,0.33595722913742065,0.23113256692886353,0.8645098119974022,278.0760498046875,47.050167083740234,4.502436399459839,10.559131479263257,36.085044860839844,22.16299057006836,53,45,8,158.0,0.36,1
1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043.npy,0.602291119285339,0.32188645005226135,0.22704589366912842,0.9098039269447327,243.02365112304688,36.53437423706055,3.8601445913314607,8.673440818786629,18.20714569091797,30.36808967590332,33,25,8,102.0,0.36,2
1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.167500254299688235071950909530.npy,0.5886359993588716,0.31559547781944275,0.2337583750486374,0.8235294222831726,275.966796875,40.315399169921875,2.7448400259017944,7.447588491439847,46.73324203491211,20.527156829833984,23,15,8,104.0,0.342046625971795,3
1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.237915456403882324748189195892.npy,0.6202671262386902,0.3207181990146637,0.2282109260559082,0.8509804010391235,214.90591430664062,29.182315826416016,2.839086914062499,6.5735711479187104,16.226367950439453,25.379159927368164,43,35,8,85.0,0.3136410623073581,4
1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.306112617218006614029386065035.npy,0.5624447547430855,0.3425697684288025,0.22531457245349884,0.8039215803146362,162.51243591308594,30.916763305664062,2.3203482627868652,6.720320034027081,13.300643920898438,12.164592742919922,48,40,8,134.0,0.30869508772426124,5
1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446.npy,0.5096332460109549,0.33507004380226135,0.23096399009227753,0.8392156958580017,182.88494873046875,33.240318298339844,2.386011493206025,6.368901391029398,32.15651321411133,9.66157054901123,18,10,8,107.0,0.30698929520845547,6
1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510.npy,0.5284833630421866,0.3795878291130066,0.23893581330776215,0.9782352954149132,142.37994384765625,26.702903747558594,2.8656845092773438,6.98356983661649,20.261423110961914,13.207730293273926,53,45,8,116.0,0.3060659884942894,7
1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565.npy,0.6156700242254239,0.3456857204437256,0.22282098233699799,0.9019607901573181,133.06118774414062,20.612300872802734,3.075870525836945,6.689630827903755,25.126249313354492,15.744504928588867,43,35,8,89.0,0.29133588398695015,8
1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318.npy,0.5731845957083984,0.3281014561653137,0.23335599899291992,0.8313725590705872,174.33514404296875,29.684804916381836,2.7599164724349983,5.567476234436035,19.783390045166016,19.167098999023438,48,40,8,122.0,0.2777958354208204,9
1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338.npy,0.18121046486264547,0.43329739570617676,0.26330801844596863,0.8313725590705872,15.1102294921875,3.6738781929016113,0.21278293728828426,0.23877563655376433,0.29225683212280273,1.5054539442062378,13,5,8,0.0,0.2775956233732867,10
1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859.npy,0.1805429178040643,0.4118756353855133,0.24912674725055695,0.8156862854957581,15.069595336914062,3.613065004348755,0.19668306857347487,0.21121969908475877,0.2650030851364136,1.3605273962020874,13,5,8,0.0,0.2772615845510951,11
1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725/surface_1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725.png,outputs/luna16_saliency_synthetic_gt/1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725/surface_grid_float_1.3.6.1.4.1.14519.5.2.1.6279.6001.333319057944372470283038483725.npy,0.4081061771152472,0.3171153962612152,0.23938041925430298,0.8509804010391235,127.33255767822266,25.401748657226562,1.8795799255371002,4.317397117614747,12.969182968139648,13.491827011108398,33,25,8,75.0,0.27396281116787274,12
