,foreground_fraction,foreground_std,z_range,z_std,grad_p99,grad_max,qc_badness
count,888.0,888.0,888.0,888.0,888.0,888.0,888.0
mean,0.5215497094918436,0.23436852059587165,61.03980495908239,9.515666741938972,1.1887008753458932,3.715842462792176,0.15394248821620796
std,0.12214027392050557,0.014033606212332758,60.75581009564961,9.555053557063005,1.2970788150902703,7.865797322299487,0.1459575123745637
min,0.15163422865332163,0.18152618408203125,0.0,0.0,0.0,0.0,0.0
1%,0.16982611060054995,0.2014525654911995,0.0,0.0,0.0,0.0,0.0
5%,0.23051760276197295,0.2137548841536045,0.0,0.0,0.0,0.0,0.0
25%,0.4715491119335249,0.22558924183249474,1.52587890625e-05,8.4494500697474e-05,0.0,1.078959303413285e-05,0.0016301027421244522
50%,0.5601318586967458,0.23314721882343292,46.17799377441406,7.666282653808594,0.8085467064380651,1.370639145374298,0.13069462331963907
75%,0.6055215223014412,0.24178700149059296,105.00877380371094,15.438424348831177,1.9529896152019486,4.132142663002014,0.2558262562602759
95%,0.6555141248528495,0.2604050114750862,177.75874633789059,27.093510341644283,3.632372692108143,14.581022071838378,0.4334240389694107
99%,0.6783632557085831,0.27175147891044615,216.71356918334962,38.008157043457025,5.147116589021686,37.9107174682617,0.5457793854577809
max,0.7253407940948866,0.2853153645992279,251.6612091064453,43.28744888305664,8.97473987579343,110.04270935058594,0.6204042505476202
