seriesuid,foreground_fraction_gt,foreground_std_gt,z_range_gt,z_std_gt,grad_p99_gt,grad_max_gt,qc_badness_gt,control_labels_gt,anchor_labels_gt,control_z_range_gt,foreground_fraction_detector,foreground_std_detector,z_range_detector,z_std_detector,grad_p99_detector,grad_max_detector,qc_badness_detector,control_labels_detector,anchor_labels_detector,control_z_range_detector,foreground_fraction_delta_detector_minus_gt,foreground_std_delta_detector_minus_gt,z_range_delta_detector_minus_gt,z_std_delta_detector_minus_gt,grad_p99_delta_detector_minus_gt,grad_max_delta_detector_minus_gt,qc_badness_delta_detector_minus_gt,detector_better_qc
1.3.6.1.4.1.14519.5.2.1.6279.6001.159996104466052855396410079250,0.6966087675765095,0.22865520417690277,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6579542321477805,0.24227997660636902,251.6612091064453,40.36443328857422,3.6054954576492313,5.826852321624756,0.579644364394082,20,8,251.6612091064453,-0.03865453542872899,0.013624772429466248,251.6612091064453,40.36443328857422,3.6054954576492313,5.826852321624756,0.579644364394082,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.373433682859788429397781158572,0.6523830538393646,0.22124083340168,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.4052662547808179,0.2144298106431961,203.95762634277344,31.5895938873291,6.024210987091101,12.720418930053711,0.5771188170327092,20,8,203.9620819091797,-0.24711679905854667,-0.006811022758483887,203.95762634277344,31.5895938873291,6.024210987091101,12.720418930053711,0.5771188170327092,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.428038562098395445838061018440,0.621845058855735,0.24746297299861908,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.608540925266904,0.23734942078590393,234.72743225097656,40.19589614868164,4.822897396087643,5.702579498291016,0.5597883737564086,15,8,234.72743225097656,-0.01330413358883109,-0.010113552212715149,234.72743225097656,40.19589614868164,4.822897396087643,5.702579498291016,0.5597883737564086,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.168605638657404145360275453085,0.6840139294005596,0.23633097112178802,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.7253407940948866,0.22786951065063477,223.85025024414062,26.143442153930664,5.92645208835602,9.52410888671875,0.5597007671727076,25,8,223.85025024414062,0.041326864694327003,-0.00846146047115326,223.85025024414062,26.143442153930664,5.92645208835602,9.52410888671875,0.5597007671727076,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.246225645401227472829175288633,0.6293991744381593,0.24499604105949402,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.6643173826632014,0.2421541064977646,243.3377227783203,35.57151794433594,4.273614234924316,7.943683624267578,0.5523248075273302,20,8,243.3377227783203,0.0349182082250421,-0.002841934561729431,243.3377227783203,35.57151794433594,4.273614234924316,7.943683624267578,0.5523248075273302,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.302403227435841351528721627052,0.5258846244067918,0.2311788946390152,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.44636316064887493,0.22116029262542725,212.8340606689453,40.211158752441406,4.066957836151123,7.193431377410889,0.5488581172731187,25,8,212.8340606689453,-0.07952146375791691,-0.010018602013587952,212.8340606689453,40.211158752441406,4.066957836151123,7.193431377410889,0.5488581172731187,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.168737928729363683423228050295,0.5965141353591706,0.22961083054542542,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.5680455813401388,0.22795265913009644,220.63189697265625,29.838970184326172,5.445248279571543,13.128120422363281,0.5453193450715811,20,8,220.63189697265625,-0.02846855401903181,-0.0016581714153289795,220.63189697265625,29.838970184326172,5.445248279571543,13.128120422363281,0.5453193450715811,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.627998298349675613581885874395,0.6233394411360513,0.22871555387973785,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.607662747493256,0.23771804571151733,215.23046875,23.659421920776367,5.483120369911219,10.235745429992676,0.5339451476997806,25,8,215.23046875,-0.015676693642795336,0.00900249183177948,215.23046875,23.659421920776367,5.483120369911219,10.235745429992676,0.5339451476997806,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.253317247142837717905329340520,0.5971322467505673,0.2363324612379074,31.0,5.37483549118042,1.1889185702800729,10.415072441101074,0.08985350680483706,10,8,31.0,0.5860738601196617,0.24159185588359833,179.31857299804688,26.680810928344727,8.97473987579343,24.765361785888672,0.6204042505476202,25,8,179.31857299804688,-0.011058386630905637,0.005259394645690918,148.31857299804688,21.305975437164307,7.785821305513357,14.350289344787598,0.5305507437427831,False
1.3.6.1.4.1.14519.5.2.1.6279.6001.341557859428950960906150406596,0.53725084222347,0.24957986176013947,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.5224241998877035,0.24164852499961853,235.99459838867188,43.28744888305664,3.311004009246826,3.6162445545196533,0.528239951854282,15,8,235.99459838867188,-0.014826642335766471,-0.007931336760520935,235.99459838867188,43.28744888305664,3.311004009246826,3.6162445545196533,0.528239951854282,False
