threshold,detections,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage,false_positives,total_scans,false_positives_per_scan
0.0,88744,1117,1186,0.9418212478920742,587,601,0.9767054908485857,87627,888,98.67905405405405
0.1,88744,1117,1186,0.9418212478920742,587,601,0.9767054908485857,87627,888,98.67905405405405
0.2,88744,1117,1186,0.9418212478920742,587,601,0.9767054908485857,87627,888,98.67905405405405
0.3,30227,1071,1186,0.903035413153457,571,601,0.9500831946755408,29156,888,32.833333333333336
0.4,6581,964,1186,0.8128161888701517,534,601,0.8885191347753744,5617,888,6.32545045045045
0.5,2711,844,1186,0.7116357504215851,487,601,0.8103161397670549,1867,888,2.1024774774774775
0.6,1537,674,1186,0.5682967959527825,423,601,0.7038269550748752,863,888,0.9718468468468469
0.7,898,441,1186,0.3718381112984823,305,601,0.5074875207986689,457,888,0.5146396396396397
0.8,456,149,1186,0.12563237774030353,120,601,0.19966722129783693,307,888,0.34572072072072074
0.9,248,23,1186,0.0193929173693086,23,601,0.03826955074875208,225,888,0.2533783783783784
1.0,0,0,1186,0.0,0,601,0.0,0,888,0.0
