scope,fold,topk,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
fold_0,0.0,1,55,112,0.49107142857142855,55,67,0.8208955223880597
fold_0,0.0,2,77,112,0.6875,60,67,0.8955223880597015
fold_0,0.0,3,91,112,0.8125,63,67,0.9402985074626866
fold_0,0.0,4,96,112,0.8571428571428571,65,67,0.9701492537313433
fold_0,0.0,5,98,112,0.875,65,67,0.9701492537313433
fold_0,0.0,6,99,112,0.8839285714285714,66,67,0.9850746268656716
fold_0,0.0,7,99,112,0.8839285714285714,66,67,0.9850746268656716
fold_0,0.0,8,100,112,0.8928571428571429,66,67,0.9850746268656716
fold_0,0.0,9,101,112,0.9017857142857143,67,67,1.0
fold_0,0.0,10,101,112,0.9017857142857143,67,67,1.0
fold_1,1.0,1,48,128,0.375,48,61,0.7868852459016393
fold_1,1.0,2,73,128,0.5703125,52,61,0.8524590163934426
fold_1,1.0,3,89,128,0.6953125,56,61,0.9180327868852459
fold_1,1.0,4,100,128,0.78125,57,61,0.9344262295081968
fold_1,1.0,5,107,128,0.8359375,57,61,0.9344262295081968
fold_1,1.0,6,113,128,0.8828125,57,61,0.9344262295081968
fold_1,1.0,7,118,128,0.921875,57,61,0.9344262295081968
fold_1,1.0,8,119,128,0.9296875,57,61,0.9344262295081968
fold_1,1.0,9,119,128,0.9296875,57,61,0.9344262295081968
fold_1,1.0,10,119,128,0.9296875,57,61,0.9344262295081968
fold_2,2.0,1,45,128,0.3515625,45,56,0.8035714285714286
fold_2,2.0,2,68,128,0.53125,50,56,0.8928571428571429
fold_2,2.0,3,84,128,0.65625,53,56,0.9464285714285714
fold_2,2.0,4,91,128,0.7109375,54,56,0.9642857142857143
fold_2,2.0,5,99,128,0.7734375,54,56,0.9642857142857143
fold_2,2.0,6,102,128,0.796875,55,56,0.9821428571428571
fold_2,2.0,7,106,128,0.828125,55,56,0.9821428571428571
fold_2,2.0,8,109,128,0.8515625,55,56,0.9821428571428571
fold_2,2.0,9,109,128,0.8515625,55,56,0.9821428571428571
fold_2,2.0,10,110,128,0.859375,55,56,0.9821428571428571
fold_3,3.0,1,47,119,0.3949579831932773,47,65,0.7230769230769231
fold_3,3.0,2,68,119,0.5714285714285714,55,65,0.8461538461538461
fold_3,3.0,3,86,119,0.7226890756302521,60,65,0.9230769230769231
fold_3,3.0,4,95,119,0.7983193277310925,63,65,0.9692307692307692
fold_3,3.0,5,100,119,0.8403361344537815,64,65,0.9846153846153847
fold_3,3.0,6,104,119,0.8739495798319328,64,65,0.9846153846153847
fold_3,3.0,7,105,119,0.8823529411764706,64,65,0.9846153846153847
fold_3,3.0,8,109,119,0.9159663865546218,65,65,1.0
fold_3,3.0,9,110,119,0.9243697478991597,65,65,1.0
fold_3,3.0,10,111,119,0.9327731092436975,65,65,1.0
fold_4,4.0,1,50,128,0.390625,50,62,0.8064516129032258
fold_4,4.0,2,77,128,0.6015625,59,62,0.9516129032258065
fold_4,4.0,3,88,128,0.6875,60,62,0.967741935483871
fold_4,4.0,4,96,128,0.75,61,62,0.9838709677419355
fold_4,4.0,5,100,128,0.78125,61,62,0.9838709677419355
fold_4,4.0,6,105,128,0.8203125,62,62,1.0
fold_4,4.0,7,108,128,0.84375,62,62,1.0
fold_4,4.0,8,108,128,0.84375,62,62,1.0
fold_4,4.0,9,112,128,0.875,62,62,1.0
fold_4,4.0,10,113,128,0.8828125,62,62,1.0
fold_5,5.0,1,40,108,0.37037037037037035,40,54,0.7407407407407407
fold_5,5.0,2,62,108,0.5740740740740741,45,54,0.8333333333333334
fold_5,5.0,3,74,108,0.6851851851851852,49,54,0.9074074074074074
fold_5,5.0,4,79,108,0.7314814814814815,49,54,0.9074074074074074
fold_5,5.0,5,84,108,0.7777777777777778,49,54,0.9074074074074074
fold_5,5.0,6,88,108,0.8148148148148148,49,54,0.9074074074074074
fold_5,5.0,7,89,108,0.8240740740740741,49,54,0.9074074074074074
fold_5,5.0,8,92,108,0.8518518518518519,49,54,0.9074074074074074
fold_5,5.0,9,93,108,0.8611111111111112,49,54,0.9074074074074074
fold_5,5.0,10,93,108,0.8611111111111112,49,54,0.9074074074074074
fold_6,6.0,1,49,129,0.3798449612403101,49,63,0.7777777777777778
fold_6,6.0,2,75,129,0.5813953488372093,55,63,0.873015873015873
fold_6,6.0,3,89,129,0.689922480620155,60,63,0.9523809523809523
fold_6,6.0,4,99,129,0.7674418604651163,60,63,0.9523809523809523
fold_6,6.0,5,104,129,0.8062015503875969,62,63,0.9841269841269841
fold_6,6.0,6,107,129,0.8294573643410853,62,63,0.9841269841269841
fold_6,6.0,7,110,129,0.8527131782945736,62,63,0.9841269841269841
fold_6,6.0,8,113,129,0.875968992248062,62,63,0.9841269841269841
fold_6,6.0,9,115,129,0.8914728682170543,62,63,0.9841269841269841
fold_6,6.0,10,116,129,0.8992248062015504,62,63,0.9841269841269841
fold_7,7.0,1,25,111,0.22522522522522523,25,54,0.46296296296296297
fold_7,7.0,2,40,111,0.36036036036036034,34,54,0.6296296296296297
fold_7,7.0,3,52,111,0.46846846846846846,37,54,0.6851851851851852
fold_7,7.0,4,54,111,0.4864864864864865,37,54,0.6851851851851852
fold_7,7.0,5,57,111,0.5135135135135135,37,54,0.6851851851851852
fold_7,7.0,6,60,111,0.5405405405405406,38,54,0.7037037037037037
fold_7,7.0,7,64,111,0.5765765765765766,38,54,0.7037037037037037
fold_7,7.0,8,65,111,0.5855855855855856,39,54,0.7222222222222222
fold_7,7.0,9,67,111,0.6036036036036037,39,54,0.7222222222222222
fold_7,7.0,10,67,111,0.6036036036036037,39,54,0.7222222222222222
fold_8,8.0,1,3,118,0.025423728813559324,3,60,0.05
fold_8,8.0,2,7,118,0.059322033898305086,5,60,0.08333333333333333
fold_8,8.0,3,16,118,0.13559322033898305,14,60,0.23333333333333334
fold_8,8.0,4,28,118,0.23728813559322035,24,60,0.4
fold_8,8.0,5,41,118,0.3474576271186441,33,60,0.55
fold_8,8.0,6,53,118,0.4491525423728814,39,60,0.65
fold_8,8.0,7,69,118,0.5847457627118644,50,60,0.8333333333333334
fold_8,8.0,8,73,118,0.6186440677966102,53,60,0.8833333333333333
fold_8,8.0,9,77,118,0.652542372881356,55,60,0.9166666666666666
fold_8,8.0,10,80,118,0.6779661016949152,56,60,0.9333333333333333
fold_9,9.0,1,45,105,0.42857142857142855,45,59,0.7627118644067796
fold_9,9.0,2,62,105,0.5904761904761905,52,59,0.8813559322033898
fold_9,9.0,3,69,105,0.6571428571428571,54,59,0.9152542372881356
fold_9,9.0,4,74,105,0.7047619047619048,55,59,0.9322033898305084
fold_9,9.0,5,80,105,0.7619047619047619,55,59,0.9322033898305084
fold_9,9.0,6,83,105,0.7904761904761904,55,59,0.9322033898305084
fold_9,9.0,7,85,105,0.8095238095238095,55,59,0.9322033898305084
fold_9,9.0,8,87,105,0.8285714285714286,55,59,0.9322033898305084
fold_9,9.0,9,88,105,0.8380952380952381,55,59,0.9322033898305084
fold_9,9.0,10,89,105,0.8476190476190476,55,59,0.9322033898305084
pooled,,1,407,1186,0.34317032040472173,407,601,0.6772046589018302
pooled,,2,609,1186,0.5134907251264755,467,601,0.7770382695507487
pooled,,3,738,1186,0.6222596964586846,506,601,0.8419301164725458
pooled,,4,812,1186,0.684654300168634,525,601,0.8735440931780366
pooled,,5,870,1186,0.7335581787521079,537,601,0.8935108153078203
pooled,,6,914,1186,0.7706576728499157,547,601,0.9101497504159733
pooled,,7,953,1186,0.8035413153456998,558,601,0.9284525790349417
pooled,,8,975,1186,0.8220910623946037,563,601,0.9367720465890182
pooled,,9,991,1186,0.8355817875210793,566,601,0.9417637271214643
pooled,,10,999,1186,0.842327150084317,567,601,0.9434276206322796
