topk,fold_mean_nodule_coverage,fold_std_nodule_coverage,fold_min_nodule_coverage,fold_max_nodule_coverage,fold_mean_positive_scan_coverage,fold_std_positive_scan_coverage,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
1,0.34326526259855994,0.1300189202856362,0.025423728813559324,0.49107142857142855,0.6735074078729537,0.24222722471411434,407,1186,0.34317032040472173,407,601,0.6772046589018302
2,0.5127681579074711,0.17915164119534993,0.059322033898305086,0.6875,0.7739273398205498,0.25701623999521883,609,1186,0.5134907251264755,467,601,0.7770382695507487
3,0.6210563787385901,0.19068939514297364,0.13559322033898305,0.8125,0.8389139839932312,0.22743312539878108,738,1186,0.6222596964586846,506,601,0.8419301164725458
4,0.6825109553662159,0.18432325054179785,0.23728813559322035,0.8571428571428571,0.8699139869302013,0.18648663633672272,812,1186,0.684654300168634,525,601,0.8735440931780366
5,0.7312816365156076,0.1670765431708005,0.3474576271186441,0.875,0.8896270516432659,0.14913511406670554,870,1186,0.7335581787521079,537,601,0.8935108153078203
6,0.7682319603806016,0.14955185020975087,0.4491525423728814,0.8839285714285714,0.9063700583200713,0.12522238292853002,914,1186,0.7706576728499157,547,601,0.9101497504159733
7,0.8007664913785939,0.12068327999959512,0.5765765765765766,0.921875,0.9247033916534046,0.09272027943068283,953,1186,0.8035413153456998,558,601,0.9284525790349417
8,0.8194445455465302,0.11917358672020238,0.5855855855855856,0.9296875,0.933093705043718,0.08450533629937196,975,1186,0.8220910623946037,563,601,0.9367720465890182
9,0.8329230656093237,0.11252645091319088,0.6036036036036037,0.9296875,0.9379195756904842,0.08406721223787993,991,1186,0.8355817875210793,566,601,0.9417637271214643
10,0.839595849375964,0.10996180465481475,0.6036036036036037,0.9327731092436975,0.9395862423571509,0.08376371215126832,999,1186,0.842327150084317,567,601,0.9434276206322796
