scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
fold_0,0,0.0,1,89,53,36,89,0.4044943820224719,53,112,0.4732142857142857,53,67,0.7910447761194029
fold_1,1,0.0,1,89,50,39,89,0.43820224719101125,50,128,0.390625,50,61,0.819672131147541
fold_2,2,0.0,1,89,48,41,89,0.4606741573033708,48,128,0.375,48,56,0.8571428571428571
fold_3,3,0.0,1,89,51,38,89,0.42696629213483145,51,119,0.42857142857142855,51,65,0.7846153846153846
fold_4,4,0.0,1,89,54,35,89,0.39325842696629215,54,128,0.421875,54,62,0.8709677419354839
fold_5,5,0.0,1,89,40,49,89,0.550561797752809,40,108,0.37037037037037035,40,54,0.7407407407407407
fold_6,6,0.0,1,89,52,37,89,0.4157303370786517,52,129,0.40310077519379844,52,63,0.8253968253968254
fold_7,7,0.0,1,89,26,63,89,0.7078651685393258,26,111,0.23423423423423423,26,54,0.48148148148148145
fold_8,8,0.0,1,88,44,44,88,0.5,44,118,0.3728813559322034,44,60,0.7333333333333333
fold_9,9,0.0,1,88,45,43,88,0.48863636363636365,45,105,0.42857142857142855,45,59,0.7627118644067796
pooled,,0.0,1,888,463,425,888,0.4786036036036036,463,1186,0.39038785834738615,463,601,0.7703826955074875
fold_0,0,0.0,2,178,74,104,89,1.1685393258426966,74,112,0.6607142857142857,59,67,0.8805970149253731
fold_1,1,0.0,2,178,73,105,89,1.1797752808988764,73,128,0.5703125,52,61,0.8524590163934426
fold_2,2,0.0,2,178,71,107,89,1.202247191011236,71,128,0.5546875,52,56,0.9285714285714286
fold_3,3,0.0,2,178,72,106,89,1.1910112359550562,72,119,0.6050420168067226,58,65,0.8923076923076924
fold_4,4,0.0,2,178,73,105,89,1.1797752808988764,73,128,0.5703125,58,62,0.9354838709677419
fold_5,5,0.0,2,178,61,117,89,1.3146067415730338,61,108,0.5648148148148148,45,54,0.8333333333333334
fold_6,6,0.0,2,178,78,100,89,1.1235955056179776,78,129,0.6046511627906976,58,63,0.9206349206349206
fold_7,7,0.0,2,178,40,138,89,1.550561797752809,40,111,0.36036036036036034,33,54,0.6111111111111112
fold_8,8,0.0,2,176,61,115,88,1.3068181818181819,61,118,0.5169491525423728,49,60,0.8166666666666667
fold_9,9,0.0,2,176,59,117,88,1.3295454545454546,59,105,0.5619047619047619,50,59,0.847457627118644
pooled,,0.0,2,1776,662,1114,888,1.2545045045045045,662,1186,0.5581787521079258,514,601,0.8552412645590682
fold_0,0,0.0,3,267,85,182,89,2.044943820224719,85,112,0.7589285714285714,62,67,0.9253731343283582
fold_1,1,0.0,3,267,88,179,89,2.0112359550561796,88,128,0.6875,54,61,0.8852459016393442
fold_2,2,0.0,3,267,83,184,89,2.067415730337079,83,128,0.6484375,52,56,0.9285714285714286
fold_3,3,0.0,3,267,87,180,89,2.0224719101123596,87,119,0.7310924369747899,63,65,0.9692307692307692
fold_4,4,0.0,3,267,85,182,89,2.044943820224719,85,128,0.6640625,58,62,0.9354838709677419
fold_5,5,0.0,3,267,70,197,89,2.2134831460674156,70,108,0.6481481481481481,47,54,0.8703703703703703
fold_6,6,0.0,3,267,92,175,89,1.9662921348314606,92,129,0.7131782945736435,60,63,0.9523809523809523
fold_7,7,0.0,3,267,46,221,89,2.4831460674157304,46,111,0.4144144144144144,36,54,0.6666666666666666
fold_8,8,0.0,3,264,68,196,88,2.227272727272727,68,118,0.576271186440678,51,60,0.85
fold_9,9,0.0,3,264,69,195,88,2.215909090909091,69,105,0.6571428571428571,54,59,0.9152542372881356
pooled,,0.0,3,2664,773,1891,888,2.1295045045045047,773,1186,0.6517706576728499,537,601,0.8935108153078203
fold_0,0,0.0,4,356,90,266,89,2.9887640449438204,90,112,0.8035714285714286,63,67,0.9402985074626866
fold_1,1,0.0,4,356,98,258,89,2.898876404494382,98,128,0.765625,55,61,0.9016393442622951
fold_2,2,0.0,4,356,93,263,89,2.955056179775281,93,128,0.7265625,54,56,0.9642857142857143
fold_3,3,0.0,4,356,97,259,89,2.9101123595505616,97,119,0.8151260504201681,64,65,0.9846153846153847
fold_4,4,0.0,4,356,97,259,89,2.9101123595505616,97,128,0.7578125,62,62,1.0
fold_5,5,0.0,4,356,76,280,89,3.146067415730337,76,108,0.7037037037037037,49,54,0.9074074074074074
fold_6,6,0.0,4,356,101,255,89,2.865168539325843,101,129,0.7829457364341085,62,63,0.9841269841269841
fold_7,7,0.0,4,356,52,304,89,3.4157303370786516,52,111,0.46846846846846846,38,54,0.7037037037037037
fold_8,8,0.0,4,352,72,280,88,3.1818181818181817,72,118,0.6101694915254238,54,60,0.9
fold_9,9,0.0,4,352,74,278,88,3.159090909090909,74,105,0.7047619047619048,54,59,0.9152542372881356
pooled,,0.0,4,3552,850,2702,888,3.0427927927927927,850,1186,0.7166947723440135,555,601,0.9234608985024958
fold_0,0,0.0,5,445,93,352,89,3.955056179775281,93,112,0.8303571428571429,64,67,0.9552238805970149
