family,method,representation,backbone,working_point,interpolation,samples,positives,negatives,auc,mcc,accuracy,f1,precision,recall,tn,fp,fn,tp,status,source
2d_adaptive_synthetic,ground_truth_synthetic,adaptive_surface,vgg16,ground_truth,not_applicable,796,320,476,0.865,0.616,0.817,0.765,,,,,,,complete,results/luna16_synthetic_2d.md
2d_adaptive_synthetic,ground_truth_synthetic,adaptive_surface,efficientnet_v2_s,ground_truth,not_applicable,796,320,476,0.855,0.607,0.813,0.759,,,,,,,complete,results/luna16_synthetic_2d.md
2d_adaptive_synthetic,detector_synthetic,adaptive_surface,efficientnet_v2_s,top4_minprob0.50,rbf,796,320,476,0.8149,0.4780,0.7513,0.6806,0.7033,0.6594,387,89,109,211,complete,results/luna16_synthetic_2d_cpmnetv2_bf16_top4_minprob0.50_pooled_results.md
2d_adaptive_synthetic,guidance_ablation_fixed,adaptive_surface,efficientnet_v2_s,top4_minprob0.50,rbf,796,320,476,0.5878,0.1109,0.5791,0.4499,0.4740,0.4281,324,152,183,137,complete,results/01_synthetic_2d_adaptive/rbf_control_point_guidance_ablation.md
2d_adaptive_synthetic,guidance_ablation_random,adaptive_surface,efficientnet_v2_s,top4_minprob0.50,rbf,796,320,476,0.6105,0.1877,0.6068,0.5207,0.5105,0.5312,313,163,150,170,complete,results/01_synthetic_2d_adaptive/rbf_control_point_guidance_ablation.md
2d_adaptive_synthetic,detector_synthetic,adaptive_surface,densenet121,top4_minprob0.50,rbf,796,320,476,0.7989,0.4487,0.7374,0.6624,0.6856,0.6406,382,94,115,205,complete,results/luna16_synthetic_2d_cpmnetv2_bf16_top4_minprob0.50_pooled_results.md
2d_adaptive_synthetic,detector_synthetic,adaptive_surface,efficientnet_v2_s,top4_minprob0.50,shepard,796,320,476,0.7793,0.4308,0.7324,0.6283,0.7115,0.5625,403,73,140,180,complete,results/luna16_synthetic_2d_cpmnetv2_bf16_top4_minprob0.50_pooled_results.md
2d_nonadaptive_baseline,mip_axial,mip,efficientnet_v2_s,not_applicable,not_applicable,796,320,476,0.6075,0.1604,0.5930,0.5061,0.4940,0.5188,306,170,154,166,complete,results/03_2d_nonadaptive_baselines/mip_efficientnetv2s_pooled_results.md
2d_nonadaptive_baseline,mip_triview,mip,efficientnet_v2_s,not_applicable,not_applicable,796,320,476,0.6175,0.1556,0.5917,0.5008,0.4924,0.5094,308,168,157,163,complete,results/03_2d_nonadaptive_baselines/mip_efficientnetv2s_pooled_results.md
2d_nonadaptive_baseline,central_slice_axial,central_axial_slice,efficientnet_v2_s,not_applicable,not_applicable,796,320,476,0.6153,0.1610,0.6068,0.4668,0.5131,0.4281,346,130,183,137,complete,results/03_2d_nonadaptive_baselines/central_slice_efficientnetv2s_results.md
2d_nonadaptive_baseline,slice_attention_2p5d,all_axial_slices_gated_attention,efficientnet_v2_s,not_applicable,not_applicable,,,,,,,,,,,,,,pending,results/03_2d_nonadaptive_baselines/slice_attention_2p5d_baseline.md
2d_detector_crop_mil_baseline,detection_crop_mil_mean,detector_centered_2d_crops,efficientnet_v2_s,top4_minprob0.50,not_applicable,,,,,,,,,,,,,,running,results/03_2d_nonadaptive_baselines/detection_crop_mil_baseline.md
2d_detector_crop_mil_baseline,detection_crop_mil_max,detector_centered_2d_crops,efficientnet_v2_s,top4_minprob0.50,not_applicable,,,,,,,,,,,,,,running,results/03_2d_nonadaptive_baselines/detection_crop_mil_baseline.md
2d_detector_crop_mil_baseline,detection_crop_mil_attention,detector_centered_2d_crops,efficientnet_v2_s,top4_minprob0.50,not_applicable,,,,,,,,,,,,,,running,results/03_2d_nonadaptive_baselines/detection_crop_mil_baseline.md
3d_volumetric_baseline,resnet18_full_volume,fitpad_224x288x288,resnet18,not_applicable,not_applicable,,,,,,,,,,,,,,pending,results/04_3d_volumetric_baseline/luna16_volume_3d_resnet18_fitpad_224x288x288_readme.md
