fold,froc_0.125fp,froc_0.25fp,froc_0.5fp,froc_1fp,froc_2fp,froc_4fp,froc_8fp,mean_froc
0,0.6667647957801819,0.771056056022644,0.8411825895309448,0.9087352156639099,0.94957435131073,0.9818997979164124,0.9909504055976868,0.8728804588317871
1,0.7369565367698669,0.8357686996459961,0.8877275586128235,0.9354330897331238,0.961999773979187,0.9844235181808472,0.9919462203979492,0.9048936367034912
2,0.6219221353530884,0.7151183485984802,0.7959058880805969,0.8717349767684937,0.9171144366264343,0.9504586458206177,0.9767342805862427,0.8355697989463806
3,0.42707905173301697,0.5416697263717651,0.6538753509521484,0.7916402816772461,0.8668522834777832,0.8979436159133911,0.9400922060012817,0.7313075065612793
4,0.440280020236969,0.577395498752594,0.7350757122039795,0.8690776228904724,0.9354557991027832,0.9624904990196228,0.9892629384994507,0.7870054244995117
5,0.49984750151634216,0.6267074942588806,0.7366200685501099,0.8313661813735962,0.9059310555458069,0.9512148499488831,0.972792387008667,0.7892113924026489
6,0.6430990099906921,0.7516028881072998,0.8354984521865845,0.9081405401229858,0.9448075294494629,0.9831675887107849,0.9901298880577087,0.8652065396308899
7,0.49805834889411926,0.5631281137466431,0.6982418298721313,0.8253969550132751,0.9385093450546265,0.9622955918312073,0.98164963722229,0.7810399532318115
8,0.5788663625717163,0.6702409982681274,0.7639063596725464,0.8203572034835815,0.8906397819519043,0.9587607383728027,0.9764559268951416,0.80846107006073
9,0.5010526776313782,0.6112198829650879,0.7080532312393188,0.8430343270301819,0.9025542140007019,0.9778336882591248,0.9810104966163635,0.7892512083053589
